date,pct_return
2006-10-03,-3.91908976
2006-10-04,1.578947368
2006-10-05,1.054774241
2006-10-06,-0.4761032778
2006-10-09,0.4415823367
2006-10-10,-1.666971973
2006-10-11,-1.825633383
2006-10-12,1.290322581
2006-10-13,0.6182090671
2006-10-16,1.899087693
2006-10-17,-1.352092088
2006-10-18,-2.092980182
2006-10-19,2.099886493
2006-10-20,-2.260515101
2006-10-23,-0.7582938389
2006-10-24,1.012416428
2006-10-25,3.328290469
2006-10-26,-1.756954612
2006-10-27,0.5961251863
2006-10-30,-3.703703704
2006-10-31,0.1923076923
2006-11-01,-0.07677543186
2006-11-02,-1.037264695
2006-11-03,2.057453416
2006-11-06,1.521491061
2006-11-07,-1.536155864
2006-11-08,1.50304414
2006-11-09,2.043111528
2006-11-10,-2.11241734
2006-11-13,-1.838994183
2006-11-14,-0.2867520551
2006-11-15,0.6326687117
2006-11-16,-3.581634597
2006-11-17,0.7310808141
2006-11-20,-0.03923107101
2006-11-21,1.923076923
2006-11-22,-1.193685021
2006-11-24,0.9353078722
2006-11-27,0.7722007722
2006-11-28,1.22605364
2006-11-29,2.441332324
2006-11-30,0.8498060225
2006-12-01,0.8976002931
2006-12-04,-1.579520697
2006-12-05,0
2006-12-06,-0.6087437742
2006-12-07,-0.2783964365
2006-12-08,-0.372231528
2006-12-11,-1.270315711
2006-12-12,-0.7190160833
2006-12-13,0.5145797599
2006-12-14,1.820250284
2006-12-15,0.8752327747
2006-12-18,-1.790659036
2006-12-19,1.071428571
2006-12-20,0.3347591594
2006-12-21,-1.353104727
2006-12-22,-0.5636978579
2006-12-26,-2.362055933
2006-12-27,-0.6193148829
2006-12-28,-0.09737098345
2006-12-29,0.6237816764
2007-01-03,-4.184424642
2007-01-04,-3.922361504
2007-01-05,0.462962963
2007-01-08,-0.1885211563
2007-01-09,-0.7764952781
2007-01-10,-3.976311337
2007-01-11,-2.422907489
2007-01-12,0.7900677201
2007-01-16,-2.866741321
2007-01-17,1.798478211
2007-01-18,-2.310305776
2007-01-19,3.014143288
2007-01-22,-1.192887688
2007-01-23,3.849658314
2007-01-24,0.8993200263
2007-01-25,-1.652173913
2007-01-26,2.25464191
2007-01-29,-2.810203199
2007-01-30,5.204626335
2007-01-31,2.029598309
2007-02-01,-0.8702859511
2007-02-02,2.884615385
2007-02-05,-0.1625355547
2007-02-06,0.2442002442
2007-02-07,-2.030044661
2007-02-08,3.232490676
2007-02-09,0.3412284223
2007-02-12,-3.280656131
2007-02-13,2.08893485
2007-02-14,-1.884116694
2007-02-15,-0.2684286599
2007-02-16,2.298136646
2007-02-20,-1.517911354
2007-02-21,2.240032881
2007-02-22,1.165829146
2007-02-23,0.1788197894
2007-02-26,0.9321697739
2007-02-27,-1.552367852
2007-02-28,2.075848303
2007-03-01,0.1564333203
2007-03-02,-0.4295197189
2007-03-05,-2.705882353
2007-03-06,1.410721483
2007-03-07,1.907790143
2007-03-08,-0.05850234009
2007-03-09,-2.302439024
2007-03-12,-1.437986818
2007-03-13,-0.8308004053
2007-03-14,0.4086636698
2007-03-15,-1.037851038
2007-03-16,-0.5757762698
2007-03-19,0.7445708376
2007-03-20,-0.4721823034
2007-03-21,0.6806930693
2007-03-22,2.724851465
2007-03-23,0.7977662545
2007-03-26,1.30589632
2007-03-27,-0.078125
2007-03-28,1.602814699
2007-03-29,3.289726818
2007-03-30,-0.577388713
2007-04-02,0.05620082428
2007-04-03,-1.872308556
2007-04-04,-0.1144819691
2007-04-05,-0.6494746896
2007-04-09,-3.441645837
2007-04-10,0.7367582636
2007-04-11,-0.1976675232
2007-04-12,2.19845514
2007-04-13,-0.1356589147
2007-04-16,-0.6404036484
2007-04-17,-1.77734375
2007-04-18,-0.2187313581
2007-04-19,-1.972897569
2007-04-20,1.585688148
2007-04-23,2.501500901
2007-04-24,-1.600937134
2007-04-25,1.884920635
2007-04-26,-0.8373904576
2007-04-27,1.590730558
2007-04-30,-1.043881693
2007-05-01,-1.621410432
2007-05-02,-1.509134234
2007-05-03,-0.5443548387
2007-05-04,-2.027163998
2007-05-07,-0.4758948893
2007-05-08,0.8731808732
2007-05-09,-1.009892828
2007-05-10,0.4372267333
2007-05-11,0.9535655058
2007-05-14,-0.3901437372
2007-05-15,1.051329623
2007-05-16,-0.9179926561
2007-05-17,3.273625695
2007-05-18,-0.1594896332
2007-05-21,1.477635783
2007-05-22,-1.751279024
2007-05-23,0.1802523533
2007-05-24,-2.079168333
2007-05-25,1.265822785
2007-05-29,-2.600806452
2007-05-30,0
2007-05-31,1.345477127
2007-06-01,1.041666667
2007-06-04,1.758641601
2007-06-05,-0.7350019865
2007-06-06,0.6804082449
2007-06-07,0.6758099781
2007-06-08,-3.139190523
2007-06-11,1.589889931
2007-06-12,-0.5617977528
2007-06-13,1.089588378
2007-06-14,2.055888224
2007-06-15,0.7040876198
2007-06-18,1.262381045
2007-06-19,-0.03835826621
2007-06-20,-1.055257099
2007-06-21,0.0581733566
2007-06-22,0.6589147287
2007-06-25,0.03850596843
2007-06-26,-1.712856043
2007-06-27,1.527315449
2007-06-28,0.9643201543
2007-06-29,1.146131805
2007-07-02,
2007-07-03,1.000944287
2007-07-05,0.9536275243
2007-07-06,1.222448602
2007-07-09,-0.6038426349
2007-07-10,0.736377025
2007-07-11,-0.1096491228
2007-07-12,0.07317965606
2007-07-13,1.55393053
2007-07-16,0.3240324032
2007-07-17,-0.08971828459
2007-07-18,1.54454023
2007-07-19,1.008135833
2007-07-20,-0.3677114341
2007-07-23,-1.072056239
2007-07-24,-2.11405223
