date,pct_return
2006-10-03,2.164648955
2006-10-04,1.186322088
2006-10-05,1.228263809
2006-10-06,0.3310359323
2006-10-09,-0.4399249334
2006-10-10,2.319372967
2006-10-11,1.834516501
2006-10-12,3.206209638
2006-10-13,2.208172317
2006-10-16,-0.0502526592
2006-10-17,-2.111273827
2006-10-18,-2.182083517
2006-10-19,0.4196480291
2006-10-20,-0.8884923434
2006-10-23,0.4484380038
2006-10-24,-3.386827845
2006-10-25,1.983820516
2006-10-26,1.252258084
2006-10-27,-2.237050469
2006-10-30,-1.157368824
2006-10-31,-0.9529945389
2006-11-01,-1.649735667
2006-11-02,1.649444267
2006-11-03,0.3026148015
2006-11-06,-0.9599602955
2006-11-07,0.8307984457
2006-11-08,-0.3570463245
2006-11-09,-3.940707814
2006-11-10,1.061688134
2006-11-13,2.753203207
2006-11-14,3.757083458
2006-11-15,0.3990497206
2006-11-16,0.2122051653
2006-11-17,-0.3436830385
2006-11-20,-1.301477284
2006-11-21,1.184084065
2006-11-22,-0.7712863638
2006-11-24,0.6968730057
2006-11-27,-3.060146691
2006-11-28,-1.619560243
2006-11-29,2.259789393
2006-11-30,-0.08187843868
2006-12-01,-0.7917065916
2006-12-04,3.220505649
2006-12-05,3.6649392
2006-12-06,1.161166476
2006-12-07,-0.1530181724
2006-12-08,1.098647818
2006-12-11,-1.617464133
2006-12-12,-0.1540794465
2006-12-13,-1.131931042
2006-12-14,2.550058068
2006-12-15,0.2032046906
2006-12-18,-1.063659244
2006-12-19,-1.433189393
2006-12-20,-0.5194719797
2006-12-21,0.6262910022
2006-12-22,-1.893454199
2006-12-26,-0.3967124755
2006-12-27,-0.2655283678
2006-12-28,0.2927745762
2006-12-29,0.2919199089
2007-01-03,-0.7936374982
2007-01-04,4.454594962
2007-01-05,-1.09808391
2007-01-08,-1.239406
2007-01-09,-1.072074346
2007-01-10,1.849930988
2007-01-11,2.439294822
2007-01-12,0.3543753733
2007-01-16,-0.2776257605
2007-01-17,-0.7338508745
2007-01-18,-1.937774908
2007-01-19,1.118070187
2007-01-22,-1.003153932
2007-01-23,-0.9607004851
2007-01-24,1.285057882
2007-01-25,-1.217118339
2007-01-26,-1.677667196
2007-01-29,-0.9594734288
2007-01-30,0
2007-01-31,1.372635059
2007-02-01,-0.6904724883
2007-02-02,-0.5348906098
2007-02-05,1.935791292
2007-02-06,-0.6064375031
2007-02-07,-0.2653867634
2007-02-08,1.862229539
2007-02-09,0.05208031943
2007-02-12,-0.6787573329
2007-02-13,0.07902935317
2007-02-14,4.122905817
2007-02-15,4.337656221
2007-02-16,2.659204113
2007-02-20,0.4945126609
2007-02-21,-1.499599513
2007-02-22,1.807791347
2007-02-23,1.308286802
2007-02-26,-1.614422122
2007-02-27,-5.625776772
2007-02-28,0.3986146764
2007-03-01,-0.5708804009
2007-03-02,-1.422400044
2007-03-05,-0.8860481374
2007-03-06,0.9193614046
2007-03-07,0.4049714843
2007-03-08,1.361564347
2007-03-09,-0.1742372216
2007-03-12,-0.04992511233
2007-03-13,4.31222321
2007-03-14,3.249779427
2007-03-15,1.041130307
2007-03-16,-0.04553865726
2007-03-19,-1.673042573
2007-03-20,0.2331439498
2007-03-21,1.67407152
2007-03-22,-0.8689000188
2007-03-23,-1.822556457
2007-03-26,-0.3522210317
2007-03-27,0.5186648659
2007-03-28,-0.3283227409
2007-03-29,-0.4942920594
2007-03-30,0.8277879997
2007-04-02,1.055666806
2007-04-03,1.462201434
2007-04-04,-0.1599249111
2007-04-05,-0.8019901505
2007-04-09,-1.455471962
2007-04-10,0.7971119027
2007-04-11,-2.093164921
2007-04-12,1.163784379
2007-04-13,-0.09373599054
2007-04-16,1.97401114
2007-04-17,-0.0229110071
2007-04-18,-1.01413533
2007-04-19,0.9778558462
2007-04-20,0.09243523165
2007-04-23,-1.129286179
2007-04-24,3.402651369
2007-04-25,2.163676971
2007-04-26,-0.08841794536
2007-04-27,-1.435101631
2007-04-30,-1.88159025
2007-05-01,-0.06844972188
2007-05-02,1.119378772
2007-05-03,0.0452777451
2007-05-04,-0.40660257
2007-05-07,-0.4082625762
2007-05-08,0.6603529547
2007-05-09,0.158472949
2007-05-10,-0.8356555887
2007-05-11,2.277260101
2007-05-14,-1.425108043
2007-05-15,-0.3386157389
2007-05-16,2.085091773
2007-05-17,-0.5328727482
2007-05-18,0.9150690528
2007-05-21,2.012837203
2007-05-22,0.4988401453
2007-05-23,-3.258027617
2007-05-24,-2.76528508
2007-05-25,-0.642037147
2007-05-29,2.285327136
2007-05-30,-3.033745477
2007-05-31,0.1634292975
2007-06-01,-0.3497913718
2007-06-04,-1.356611966
2007-06-05,0.8299358805
2007-06-06,-0.6351778276
2007-06-07,-2.840272374
2007-06-08,1.948868078
2007-06-11,-1.099008487
2007-06-12,1.014692134
2007-06-13,1.889738303
2007-06-14,0.1875736171
2007-06-15,-0.0936112186
2007-06-18,-0.7506981308
2007-06-19,0.8979877047
2007-06-20,0.8899956532
2007-06-21,1.11436479
2007-06-22,-1.147943524
2007-06-25,-1.184287911
2007-06-26,0.6813082005
2007-06-27,1.42389261
2007-06-28,0.02316909822
